Series ID,Year,Period,Value
LAUMT181402000000003,2009,1,6.7
LAUMT181402000000003,2009,2,7.7
LAUMT181402000000003,2009,3,7.1
LAUMT181402000000003,2009,4,6.8
LAUMT181402000000003,2009,5,7.0
LAUMT181402000000003,2009,6,7.6
LAUMT181402000000003,2009,7,7.5
LAUMT181402000000003,2009,8,6.9
LAUMT181402000000003,2009,9,6.1
LAUMT181402000000003,2009,10,6.8
LAUMT181402000000003,2009,11,6.8
LAUMT181402000000003,2009,12,7.0
LAUMT181402000000003,2010,1,8.8
LAUMT181402000000003,2010,2,8.7
LAUMT181402000000003,2010,3,8.5
LAUMT181402000000003,2010,4,7.7
LAUMT181402000000003,2010,5,8.0
LAUMT181402000000003,2010,6,9.3
LAUMT181402000000003,2010,7,8.9
LAUMT181402000000003,2010,8,8.7
LAUMT181402000000003,2010,9,7.5
LAUMT181402000000003,2010,10,7.2
LAUMT181402000000003,2010,11,7.5
LAUMT181402000000003,2010,12,7.5
LAUMT181402000000003,2011,1,7.9
LAUMT181402000000003,2011,2,8.1
LAUMT181402000000003,2011,3,7.4
LAUMT181402000000003,2011,4,6.6
LAUMT181402000000003,2011,5,7.5
LAUMT181402000000003,2011,6,8.8
LAUMT181402000000003,2011,7,9.0
LAUMT181402000000003,2011,8,8.5
LAUMT181402000000003,2011,9,7.9
LAUMT181402000000003,2011,10,7.7
LAUMT181402000000003,2011,11,7.4
LAUMT181402000000003,2011,12,7.6
LAUMT181402000000003,2012,1,7.8
LAUMT181402000000003,2012,2,8.2
LAUMT181402000000003,2012,3,7.6
LAUMT181402000000003,2012,4,7.0
LAUMT181402000000003,2012,5,7.5
LAUMT181402000000003,2012,6,8.7
LAUMT181402000000003,2012,7,8.4
LAUMT181402000000003,2012,8,7.6
LAUMT181402000000003,2012,9,7.1
LAUMT181402000000003,2012,10,6.8
LAUMT181402000000003,2012,11,7.1
LAUMT181402000000003,2012,12,7.8
LAUMT181402000000003,2013,1,8.1
LAUMT181402000000003,2013,2,7.9
LAUMT181402000000003,2013,3,7.8
LAUMT181402000000003,2013,4,6.7
LAUMT181402000000003,2013,5,7.5
LAUMT181402000000003,2013,6,8.4
LAUMT181402000000003,2013,7,7.8
LAUMT181402000000003,2013,8,6.8
LAUMT181402000000003,2013,9,6.2
LAUMT181402000000003,2013,10,6.2
LAUMT181402000000003,2013,11,6.4
LAUMT181402000000003,2013,12,5.7
LAUMT181402000000003,2014,1,6.4
LAUMT181402000000003,2014,2,6.9
LAUMT181402000000003,2014,3,6.4
LAUMT181402000000003,2014,4,5.2
LAUMT181402000000003,2014,5,5.9
LAUMT181402000000003,2014,6,6.7
LAUMT181402000000003,2014,7,6.6
LAUMT181402000000003,2014,8,6.1
LAUMT181402000000003,2014,9,5.3
LAUMT181402000000003,2014,10,5.7
LAUMT181402000000003,2014,11,5.7
LAUMT181402000000003,2014,12,5.2
LAUMT181402000000003,2015,1,6.1
LAUMT181402000000003,2015,2,5.5
LAUMT181402000000003,2015,3,5.3
LAUMT181402000000003,2015,4,4.2
LAUMT181402000000003,2015,5,5.1
LAUMT181402000000003,2015,6,5.8
LAUMT181402000000003,2015,7,5.5
LAUMT181402000000003,2015,8,4.8
LAUMT181402000000003,2015,9,4.2
LAUMT181402000000003,2015,10,4.6
LAUMT181402000000003,2015,11,4.8
LAUMT181402000000003,2015,12,4.6
LAUMT181402000000003,2016,1,5.4
LAUMT181402000000003,2016,2,5.4
LAUMT181402000000003,2016,3,5.1
LAUMT181402000000003,2016,4,4.6
LAUMT181402000000003,2016,5,4.5
LAUMT181402000000003,2016,6,5.4
LAUMT181402000000003,2016,7,5.3
LAUMT181402000000003,2016,8,4.9
LAUMT181402000000003,2016,9,4.1
LAUMT181402000000003,2016,10,4.0
LAUMT181402000000003,2016,11,4.0
LAUMT181402000000003,2016,12,3.7
LAUMT181402000000003,2017,1,4.5
LAUMT181402000000003,2017,2,4.3
LAUMT181402000000003,2017,3,3.9
LAUMT181402000000003,2017,4,2.9
LAUMT181402000000003,2017,5,3.3
LAUMT181402000000003,2017,6,3.9
LAUMT181402000000003,2017,7,4.1
LAUMT181402000000003,2017,8,4.3
LAUMT181402000000003,2017,9,3.2
LAUMT181402000000003,2017,10,3.2
LAUMT181402000000003,2017,11,3.6
LAUMT181402000000003,2017,12,2.9
LAUMT181402000000003,2018,1,3.9
LAUMT181402000000003,2018,2,4.0
LAUMT181402000000003,2018,3,3.7
LAUMT181402000000003,2018,4,3.1
LAUMT181402000000003,2018,5,3.5
LAUMT181402000000003,2018,6,4.3
LAUMT181402000000003,2018,7,4.2
LAUMT181402000000003,2018,8,4.0
LAUMT181402000000003,2018,9,2.9
LAUMT181402000000003,2018,10,3.7
LAUMT181402000000003,2018,11,3.5
LAUMT181402000000003,2018,12,3.3
LAUMT181402000000003,2019,1,4.5
LAUMT181402000000003,2019,2,4.2
LAUMT181402000000003,2019,3,3.7
LAUMT181402000000003,2019,4,2.6
LAUMT181402000000003,2019,5,3.3
LAUMT181402000000003,2019,6,3.9
LAUMT181402000000003,2019,7,3.9
LAUMT181402000000003,2019,8,3.5
LAUMT181402000000003,2019,9,2.6
LAUMT181402000000003,2019,10,3.0
LAUMT181402000000003,2019,11,3.1
LAUMT181402000000003,2019,12,2.6
LAUMT181402000000003,2020,1,3.6
LAUMT181402000000003,2020,2,3.5
LAUMT181402000000003,2020,3,4.2
LAUMT181402000000003,2020,4,10.1
LAUMT181402000000003,2020,5,8.9
LAUMT181402000000003,2020,6,8.6
LAUMT181402000000003,2020,7,8.1
LAUMT181402000000003,2020,8,5.9
LAUMT181402000000003,2020,9,4.9
LAUMT181402000000003,2020,10,4.5
LAUMT181402000000003,2020,11,4.0
LAUMT181402000000003,2020,12,3.9
LAUMT181402000000003,2021,1,4.6
LAUMT181402000000003,2021,2,4.6
LAUMT181402000000003,2021,3,4.3
LAUMT181402000000003,2021,4,3.3
LAUMT181402000000003,2021,5,3.4
LAUMT181402000000003,2021,6,4.0
LAUMT181402000000003,2021,7,3.5
LAUMT181402000000003,2021,8,3.2
LAUMT181402000000003,2021,9,2.5
LAUMT181402000000003,2021,10,2.6
LAUMT181402000000003,2021,11,2.3
LAUMT181402000000003,2021,12,1.9
LAUMT181402000000003,2022,1,3.0
LAUMT181402000000003,2022,2,3.2
LAUMT181402000000003,2022,3,3.0
LAUMT181402000000003,2022,4,2.1
LAUMT181402000000003,2022,5,2.8
LAUMT181402000000003,2022,6,3.5
LAUMT181402000000003,2022,7,3.8
LAUMT181402000000003,2022,8,3.1
LAUMT181402000000003,2022,9,2.3
LAUMT181402000000003,2022,10,3.1
LAUMT181402000000003,2022,11,2.9
LAUMT181402000000003,2022,12,2.3
LAUMT181402000000003,2023,1,3.3
LAUMT181402000000003,2023,2,3.6
LAUMT181402000000003,2023,3,3.4
LAUMT181402000000003,2023,4,2.5
LAUMT181402000000003,2023,5,3.5
LAUMT181402000000003,2023,6,3.7
LAUMT181402000000003,2023,7,4.1
LAUMT181402000000003,2023,8,3.5
LAUMT181402000000003,2023,9,2.9
LAUMT181402000000003,2023,10,3.2
LAUMT181402000000003,2023,11,3.3
LAUMT181402000000003,2023,12,2.6
LAUMT181402000000003,2024,1,3.8
LAUMT181402000000003,2024,2,4.4
LAUMT181402000000003,2024,3,4.4